Phase,Indicator,Group,State,Subgroup,Time Period,Time Period Label,Value,Low CI,High CI,Confidence Interval,Quartile range,code,Start Date
1,Depressive Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,23.5,22.7,24.3,22.7 - 24.3,,,23-Apr
1,Depressive Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,32.7,30.2,35.2,30.2 - 35.2,,,23-Apr
1,Depressive Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,25.7,24.1,27.3,24.1 - 27.3,,,23-Apr
1,Depressive Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,24.8,23.3,26.2,23.3 - 26.2,,,23-Apr
1,Depressive Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,23.2,21.5,25,21.5 - 25.0,,,23-Apr
1,Depressive Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,18.4,17,19.7,17.0 - 19.7,,,23-Apr
1,Depressive Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,13.6,11.8,15.5,11.8 - 15.5,,,23-Apr
1,Depressive Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,14.4,9,21.4,9.0 - 21.4,,,23-Apr
1,Depressive Disorder,By Gender,United States,Male,1,Apr 23 - May 5,20.8,19.6,22,19.6 - 22.0,,,23-Apr
1,Depressive Disorder,By Gender,United States,Female,1,Apr 23 - May 5,26.1,25.2,27.1,25.2 - 27.1,,,23-Apr
1,Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,29.4,26.8,32.1,26.8 - 32.1,,,23-Apr
1,Depressive Disorder,By Race Ethnicity,United States,White,1,Apr 23 - May 5,21.4,20.6,22.1,20.6 - 22.1,,,23-Apr
1,Depressive Disorder,By Race Ethnicity,United States,Black,1,Apr 23 - May 5,25.6,23.7,27.5,23.7 - 27.5,,,23-Apr
1,Depressive Disorder,By Race Ethnicity,United States,Asian,1,Apr 23 - May 5,23.6,20.3,27.1,20.3 - 27.1,,,23-Apr
1,Depressive Disorder,By Race Ethnicity,United States,Other,1,Apr 23 - May 5,28.3,24.8,32,24.8 - 32.0,,,23-Apr
1,Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,32.7,27.8,38,27.8 - 38.0,,,23-Apr
1,Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,25.4,23.9,26.9,23.9 - 26.9,,,23-Apr
1,Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,25.6,24.4,26.9,24.4 - 26.9,,,23-Apr
1,Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,17.6,16.8,18.4,16.8 - 18.4,,,23-Apr
1,Anxiety Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,30.8,30,31.7,30.0 - 31.7,,,23-Apr
1,Anxiety Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,40.2,38.1,42.4,38.1 - 42.4,,,23-Apr
1,Anxiety Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,34.4,32.6,36.1,32.6 - 36.1,,,23-Apr
1,Anxiety Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,34.1,32.1,36.2,32.1 - 36.2,,,23-Apr
1,Anxiety Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,31,29,33.1,29.0 - 33.1,,,23-Apr
1,Anxiety Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,24.9,23.6,26.3,23.6 - 26.3,,,23-Apr
1,Anxiety Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,16.4,14.8,18.1,14.8 - 18.1,,,23-Apr
1,Anxiety Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,14.6,11.5,18.2,11.5 - 18.2,,,23-Apr
1,Anxiety Disorder,By Gender,United States,Male,1,Apr 23 - May 5,26.1,24.7,27.5,24.7 - 27.5,,,23-Apr
1,Anxiety Disorder,By Gender,United States,Female,1,Apr 23 - May 5,35.4,34.5,36.3,34.5 - 36.3,,,23-Apr
1,Anxiety Disorder,By Race Ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,36.3,33.4,39.2,33.4 - 39.2,,,23-Apr
1,Anxiety Disorder,By Race Ethnicity,United States,White,1,Apr 23 - May 5,29,28.2,29.9,28.2 - 29.9,,,23-Apr
1,Anxiety Disorder,By Race Ethnicity,United States,Black,1,Apr 23 - May 5,32.8,30.3,35.5,30.3 - 35.5,,,23-Apr
1,Anxiety Disorder,By Race Ethnicity,United States,Asian,1,Apr 23 - May 5,26.3,23.6,29.1,23.6 - 29.1,,,23-Apr
1,Anxiety Disorder,By Race Ethnicity,United States,Other,1,Apr 23 - May 5,38.2,34.3,42.3,34.3 - 42.3,,,23-Apr
1,Anxiety Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,37.3,32.4,42.4,32.4 - 42.4,,,23-Apr
1,Anxiety Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,30.6,29,32.3,29.0 - 32.3,,,23-Apr
1,Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,33.5,32,35.1,32.0 - 35.1,,,23-Apr
1,Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,27,26.3,27.8,26.3 - 27.8,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,Apr 23 - May 5,35.9,35,36.8,35.0 - 36.8,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1,Apr 23 - May 5,46.8,44.3,49.3,44.3 - 49.3,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1,Apr 23 - May 5,39.6,37.7,41.5,37.7 - 41.5,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1,Apr 23 - May 5,38.9,37.2,40.7,37.2 - 40.7,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1,Apr 23 - May 5,35.8,34,37.7,34.0 - 37.7,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1,Apr 23 - May 5,28.9,27.6,30.3,27.6 - 30.3,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1,Apr 23 - May 5,21.5,19.3,23.7,19.3 - 23.7,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1,Apr 23 - May 5,21.1,15.6,27.5,15.6 - 27.5,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Gender,United States,Male,1,Apr 23 - May 5,31,29.6,32.3,29.6 - 32.3,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Gender,United States,Female,1,Apr 23 - May 5,40.7,39.7,41.6,39.7 - 41.6,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,1,Apr 23 - May 5,42.7,39.7,45.7,39.7 - 45.7,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,White,1,Apr 23 - May 5,33.6,32.7,34.4,32.7 - 34.4,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Black,1,Apr 23 - May 5,38.9,36.4,41.4,36.4 - 41.4,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Asian,1,Apr 23 - May 5,31.9,28.5,35.4,28.5 - 35.4,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Race Ethnicity,United States,Other,1,Apr 23 - May 5,43.9,39.8,48.1,39.8 - 48.1,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1,Apr 23 - May 5,45.4,40.3,50.5,40.3 - 50.5,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1,Apr 23 - May 5,36.7,35.2,38.2,35.2 - 38.2,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1,Apr 23 - May 5,38.5,36.9,40,36.9 - 40.0,,,23-Apr
1,Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1,Apr 23 - May 5,30.7,29.8,31.5,29.8 - 31.5,,,23-Apr
1,Depressive Disorder,National Estimate,United States,United States,2,May 7 - May 12,24.1,23,25.2,23.0 - 25.2,,,7-May
1,Depressive Disorder,By Age,United States,18 - 29 years,2,May 7 - May 12,36.2,32.2,40.2,32.2 - 40.2,,,7-May
1,Depressive Disorder,By Age,United States,30 - 39 years,2,May 7 - May 12,27.7,25.7,29.8,25.7 - 29.8,,,7-May
1,Depressive Disorder,By Age,United States,40 - 49 years,2,May 7 - May 12,25.5,23.1,28,23.1 - 28.0,,,7-May
1,Depressive Disorder,By Age,United States,50 - 59 years,2,May 7 - May 12,24.1,22,26.2,22.0 - 26.2,,,7-May
1,Depressive Disorder,By Age,United States,60 - 69 years,2,May 7 - May 12,17.6,15.7,19.6,15.7 - 19.6,,,7-May
1,Depressive Disorder,By Age,United States,70 - 79 years,2,May 7 - May 12,12.2,10.4,14.2,10.4 - 14.2,,,7-May
1,Depressive Disorder,By Age,United States,80 years and above,2,May 7 - May 12,9.1,6.9,11.6,6.9 - 11.6,,,7-May
1,Depressive Disorder,By Gender,United States,Male,2,May 7 - May 12,22.3,20.6,24,20.6 - 24.0,,,7-May
1,Depressive Disorder,By Gender,United States,Female,2,May 7 - May 12,25.8,24.7,27,24.7 - 27.0,,,7-May
1,Depressive Disorder,By Race Ethnicity,United States,Hispanic or Latino,2,May 7 - May 12,27.9,24.4,31.6,24.4 - 31.6,,,7-May
1,Depressive Disorder,By Race Ethnicity,United States,White,2,May 7 - May 12,22.5,21.6,23.4,21.6 - 23.4,,,7-May
1,Depressive Disorder,By Race Ethnicity,United States,Black,2,May 7 - May 12,27.7,23.8,31.9,23.8 - 31.9,,,7-May
1,Depressive Disorder,By Race Ethnicity,United States,Asian,2,May 7 - May 12,19.5,15.4,24.3,15.4 - 24.3,,,7-May
1,Depressive Disorder,By Race Ethnicity,United States,Other,2,May 7 - May 12,33,28.6,37.7,28.6 - 37.7,,,7-May
1,Depressive Disorder,By Education,United States,Less than a high school diploma,2,May 7 - May 12,31.4,25.9,37.3,25.9 - 37.3,,,7-May
1,Depressive Disorder,By Education,United States,High school diploma or GED,2,May 7 - May 12,27.1,24.9,29.4,24.9 - 29.4,,,7-May
1,Depressive Disorder,By Education,United States,Some college/Associate's degree,2,May 7 - May 12,26.5,25,28.1,25.0 - 28.1,,,7-May
1,Depressive Disorder,By Education,United States,Bachelor's degree or higher,2,May 7 - May 12,17.2,16,18.3,16.0 - 18.3,,,7-May
1,Anxiety Disorder,National Estimate,United States,United States,2,May 7 - May 12,30,28.9,31,28.9 - 31.0,,,7-May
1,Anxiety Disorder,By Age,United States,18 - 29 years,2,May 7 - May 12,42,38.3,45.7,38.3 - 45.7,,,7-May
1,Anxiety Disorder,By Age,United States,30 - 39 years,2,May 7 - May 12,34.3,32.6,36.1,32.6 - 36.1,,,7-May
